3	11.397
3	17.171
3	17.672
3	19.202
3	20.398
3	21.379
3	26.882
3	29.889
3	30.862
3	31.236
3	32.357
3	42.036
3	43.978
3	5.609
3	6.053
3	6.185
3	6.217
3	6.349
3	6.623
3	7.014
3	8.1
3	8.924
4	10.844
4	13.119
4	13.811
4	16.517
4	16.606
4	16.703
4	19.466
4	20.348
4	22.073
4	22.701
4	23.916
4	27.569
4	39.952
4	41.444
4	44.099
4	7.336
4	7.734
4	7.892
4	8.837
4	8.92
4	9.742
5	10.429
5	11.253
5	12.209
5	13.416
5	16.106
5	17.264
5	19.106
5	30.548
5	36.746
5	9.333
6	10.522
6	13.562
6	15.725
6	17.822
6	19.128
6	19.59
6	19.771
6	21.4
6	22.184
6	35.939
6	39.965
6	40.602
6	46.453
6	50.986
6	51.142
6	53.018
7	12.027
7	12.132
7	12.591
7	12.647
7	18.238
7	23.149
7	24.318
7	24.394
7	28.043
7	36.653
7	40.024
7	41.358
7	49.544
7	51.583
7	54.321
8	15.038
8	16.461
8	17.705
8	19.564
8	24.172
8	24.451
8	25.133
8	26.532
8	38.278
8	38.49
8	39.957
8	42.426
8	51.343
8	53.158
8	53.359
8	55.299
number_courses	Marks
